,Name,Position,Born,Team,Weight,Match Played,Points,Career Best Points,Raids,Successful Raids,Unsuccessful Raids,Total Raid Points,Tackles,Successful Tackles,Unsuccessful Tackles,Tackle Success Rate,future
0,Maninder Singh,Raider,"Jan 1, 1990",Bengal Warriors,76 kg,20,205,19,318,171,57,205,7,0,7,0,y
1,K. Prapanjan,Raider,"May 29, 1993",Bengal Warriors,83.6 kg,18,101,12,197,71,41,99,14,2,12,14.28,y
2,Mohammad Taghi,Raider,"Oct 21, 1991",Bengal Warriors,85 kg,3,1,1,4,0,3,0,4,1,3,25,y
3,Rakesh Narwal,Raider,"May 6, 1995",Bengal Warriors,82 kg,2,6,3,6,3,2,6,0,0,0,0,y
4,Ravindra Ramesh,Raider,"Apr 16, 1996",Bengal Warriors,66 kg,3,2,2,9,1,4,1,2,1,1,50,y
5,Sukesh Hegde,Raider,"Oct 2, 1989",Bengal Warriors,81.3 kg,13,41,8,88,27,15,40,4,1,3,25,y
6,Naveen Narwal,"Defender, right cover","Jan 1, 1970",Bengal Warriors,-,3,1,1,0,0,0,0,8,1,7,12.5,y
7,Amit,"Defender, right corner","Dec 12, 1998",Bengal Warriors,74 kg,4,0,0,0,0,0,0,1,0,1,0,y
8,Baldev Singh,"Defender, right corner","May 27, 1993",Bengal Warriors,74 kg,20,59,7,5,0,1,0,105,54,51,56.19,y
9,Jeeva Kumar,"Defender, right  cover","Jun 1, 1981",Bengal Warriors,72 kg,19,32,4,0,0,0,0,86,31,55,37.2,y
10,Viraj Vishnu,"Defender, left cover","Oct 15, 1993",Bengal Warriors,-,8,7,3,0,0,0,0,31,7,24,22.58,y
11,Adarsh T,"Defender, left corner","Jan 1, 1970",Bengal Warriors,-,9,3,2,0,0,0,0,9,3,6,33.33,y
12,Dharmendra Singh,"Defender, left corner","Feb 3, 1994",Bengal Warriors,75 kg,0,0,0,0,0,0,0,0,0,0,0,y
13,Rinku Narwal,Defender,"Jan 1, 1970",Bengal Warriors,-,20,53,5,3,0,0,0,113,51,62,46.9,y
14,Amir Santosh,All Rounder,"Dec 16, 1991",Bengal Warriors,-,0,0,0,0,0,0,0,0,0,0,0,y
15,Avinash A.,All Rounder,"May 18, 1991",Bengal Warriors,-,0,0,0,0,0,0,0,0,0,0,0,y
16,Mohammad Esmaeil,All Rounder,"Sep 17, 1991",Bengal Warriors,-,20,100,10,193,60,36,75,54,23,31,46.29,y
17,Mayur Shivtarkar,All Rounder,"Sep 13, 1996",Bengal Warriors,79 kg,7,6,2,0,0,0,0,25,6,19,24,y
18,Sourabh Tanaji,All Rounder,"Jul 9, 1997",Bengal Warriors,-,0,0,0,0,0,0,0,0,0,0,0,y
19,Sunil Manik,All Rounder,"Apr 27, 1996",Bengal Warriors,-,1,0,0,0,0,0,0,5,0,5,0,y
20,Rohit Kumar,Raider,"Jan 19, 1990",Bengaluru Bulls,79 kg,17,92,14,230,69,67,88,17,4,13,23.52,y
21,Banty,Raider,"Nov 10, 2000",Bengaluru Bulls,69.3 kg,11,21,6,45,13,13,18,8,3,5,37.5,y
22,Lal Mohar,Raider,"Feb 1, 1991",Bengaluru Bulls,79 kg,0,0,0,0,0,0,0,0,0,0,0,y
23,Pawan Kumar,Raider,"Jul 9, 1996",Bengaluru Bulls,-,19,256,29,343,187,89,242,29,13,16,48.27,y
24,Sumit Singh,Raider,"Jun 15, 1996",Bengaluru Bulls,-,15,39,7,92,27,28,36,11,2,9,27.27,n
25,Vinod Kumar,Raider,"Jan 2, 1989",Bengaluru Bulls,80 kg,1,0,0,0,0,0,0,2,0,2,0,y
26,Mohit Sehrawat,"Defender, right cover","Aug 21, 1998",Bengaluru Bulls,76.5 kg,13,17,5,45,4,11,5,31,10,21,38.7,y
27,Raju Lal,"Defender, right corner","Feb 12, 1988",Bengaluru Bulls,80.5 kg,1,0,0,0,0,0,0,0,0,0,0,y
28,Vijay Kumar,"Defender, right corner","Mar 1, 1994",Bengaluru Bulls,-,9,5,3,4,0,0,0,16,4,12,31.25,y
